Id,DimMeasurementId,Axis,Measurement,Nominal,PositiveTolerance,NegativeTolerance,Bonus,Deviation,OutTolerance,OutToleranceBar,PlanId,PartNo,PlanProductId,Type,IdSymbol,WarningLimitCf,FeatureId,FeatureSigma,Comment,Link,LinkMode,Mmc,UserUpperTol,UserLowerTol,Fftphi,FftphiUnit,ZoneRoundnessAngle,GroupName,GroupName2,DatumAid,DatumBid,DatumCid,NatUpperTolId,NatLowerTolId,DecimalPlaces,FeaturePosX,FeaturePosY,FeaturePosZ,Unit,Confirmation,CreatedDate,UpdatedDate
bb8debc4-0bc0-47d4-a172-6a88ffcf1079,0c24fb8e-490e-4af9-947f-494ae29dc1cd,,0.0501736,0.0,0.05,0.0,,0.0501736,0.00017359999999999598,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 10:00:16.495414,2022-01-18 10:00:16.495414
59f30b17-ae31-4801-b479-37140c5a1cd4,5c083b2d-71cc-4d25-a3bb-5de238dd60fa,,0.054753,0.0,0.05,0.0,,0.054753,0.004753,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:22.601104,2022-01-18 10:00:22.601104
74fdf35b-a0f8-4564-ad64-8a7d2b5d2994,e9c5debf-fab0-48a0-b889-59c832c50373,,0.0593906,0.0,0.05,0.0,,0.0593906,0.009390599999999999,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 10:00:22.601104,2022-01-18 10:00:22.601104
8fa9355e-3aca-458f-942a-5473f8e6e138,80e1c4f5-b3d1-4984-b143-48447de8a9f5,,-0.3093199,0.0,0.25,-0.25,,-0.3093199,0.05931989999999998,<----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:27.678748,2022-01-18 10:00:27.678748
db9a5a17-2c98-430c-a7f2-518cd219c5c8,2baef6ff-15b2-4845-bcf6-165dfae957ef,,0.0520013,0.0,0.05,0.0,,0.0520013,0.0020012999999999975,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 10:00:31.74338,2022-01-18 10:00:31.74338
0b92fa16-d449-4234-8df1-8a18f812cc3c,7077c830-68b5-466f-acc1-f9948adf0c15,,10.642.731,0.0,0.3,0.0,,10642.731,0.7642731,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:37.821221,2022-01-18 10:00:37.821221
255720b4-7d4f-43ad-b476-14830a807c9d,41302a4c-26c3-4243-89f1-f49401a8f8bb,,-95.656.196,-9.0,0.15,-0.15,,-0.5656196,0.4156196,<----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:37.821221,2022-01-18 10:00:37.821221
62413249-f9b6-4562-874c-6eae34c1d9b0,dedd440e-6c84-4430-ab23-8665e5d334a7,,11.332.263,0.0,0.3,0.0,,11332.263,0.8332263,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:37.821221,2022-01-18 10:00:37.821221
9800839e-5789-44ad-86f3-807542fe6925,9bf8b98b-9464-42ef-ad29-9c1ea1240001,,-95.312.334,-9.0,0.15,-0.15,,-0.5312334,0.38123339999999994,<----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:37.821221,2022-01-18 10:00:37.821221
15f81d7c-53d2-497d-b91d-847c81209383,37a0c94f-e56a-4b28-908d-c7a142d2f072,,0.470124,0.0,0.3,0.0,,0.470124,0.170124,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:39.867069,2022-01-18 10:00:39.867069
